sku,attribute_set_code,product_type,categories,product_websites,name,short_description,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,new_from_date,new_to_date,is_in_stock,qty
1035911,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Mobilni telefon,Mobileland/Mobilni tel. i oprema/Mobilni telefon/Ulefone",base,"Mobilni telefon Ulefone S7 (2GB/16GB) crna ","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",99.88,1035911,"Mobilni telefon Ulefone S7 (2GB/16GB) crna ","Mobilni,telefon,Ulefone,S7,(2GB/16GB),crna,",9/17/2019,10/17/2019,1,2
1035913,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Mobilni telefon,Mobileland/Mobilni tel. i oprema/Mobilni telefon/Ulefone",base,"Ulefone Mix 2 Crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",164.59,1035913,"Ulefone Mix 2 Crna","Ulefone,Mix,2,Crna",9/17/2019,10/17/2019,1,2
1035914,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Nokia N6 crna","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035914,"Futrola Teracell Giulietta za Nokia N6 crna","Futrola,Teracell,Giulietta,za,Nokia,N6,crna",5/11/2019,6/11/2019,1,13
1035915,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 ljubičasta","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035915,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 ljubičasta","Futrola,Teracell,Giulietta,za,Huawei,P9,Lite,mini/Y6,Pro,2017,ljubičasta",5/11/2019,6/11/2019,1,8
1035916,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035916,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 roza","Futrola,Teracell,Giulietta,za,Huawei,P9,Lite,mini/Y6,Pro,2017,roza",5/11/2019,6/11/2019,1,3
1035917,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 svijetlo plava","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035917,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 svijetlo plava","Futrola,Teracell,Giulietta,za,Huawei,P9,Lite,mini/Y6,Pro,2017,svijetlo,plava",5/11/2019,6/11/2019,1,2
1035918,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 siva","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035918,"Futrola Teracell Giulietta za Huawei P9 Lite mini/Y6 Pro 2017 siva","Futrola,Teracell,Giulietta,za,Huawei,P9,Lite,mini/Y6,Pro,2017,siva",5/11/2019,6/11/2019,1,10
1035919,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 ljubičasta","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035919,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 ljubičasta","Futrola,Teracell,Giulietta,za,Huawei,Y5,2017/Y6,2017,ljubičasta",5/11/2019,6/11/2019,1,19
1035920,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 svijetlo plava","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035920,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 svijetlo plava","Futrola,Teracell,Giulietta,za,Huawei,Y5,2017/Y6,2017,svijetlo,plava",5/11/2019,6/11/2019,1,5
1035921,Default,simple,"Mobileland/Mobilni tel. i oprema,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel.,Mobileland/Mobilni tel. i oprema/Futrola za mob. tel./Teracell Giulietta",base,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 roza","Moguce je da slika ne odgovara opisanom proizvodu",1,Taxable Goods,"Catalog, Search",4.90,1035921,"Futrola Teracell Giulietta za Huawei Y5 2017/Y6 2017 roza","Futrola,Teracell,Giulietta,za,Huawei,Y5,2017/Y6,2017,roza",5/11/2019,6/11/2019,1,2
